Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51001,406.280006,403.490009,405.000004,44915500,52.969683
2011-12-29,403.399994,405.650005,400.509995,405.120007,53994500,52.985378
2011-12-28,406.890007,408.250011,401.34,402.640003,57165500,52.66102
2011-12-27,403.099987,409.090004,403.020012,406.529999,66269000,53.16979
2011-12-23,399.690002,403.590012,399.489998,403.330006,67349800,52.751265
2011-12-22,397.000008,399.12999,396.099987,398.550003,50589700,52.126092
2011-12-21,396.689987,397.299988,392.009987,396.450008,65737000,51.851435
2011-12-20,387.76001,396.099987,387.259998,395.949997,84303800,51.786039
2011-12-19,382.470009,384.85001,380.480003,382.210003,58882600,49.988994
2011-12-16,380.360001,384.149994,379.569996,381.019989,105369600,49.833353
2011-12-15,383.330002,383.739998,378.309994,378.939995,64050000,49.561312
2011-12-14,386.700012,387.380001,377.679993,380.19001,101721900,49.7248
2011-12-13,392.999996,395.399998,387.099995,388.809994,84732200,50.852202
2011-12-12,391.679993,393.89999,389.450008,391.839996,75266800,51.248494
2011-12-09,392.850006,394.039993,391.029991,393.62001,74248300,51.481301
2011-12-08,391.450001,395.50,390.23,390.659996,94089100,51.094163
2011-12-07,389.929993,390.940002,386.759987,389.09,76186600,50.888824
2011-12-06,392.509998,394.629993,389.379993,390.949989,70899500,51.132091
2011-12-05,393.489994,396.410007,390.390003,393.01001,89302500,51.40152
2011-12-02,389.82999,393.629997,388.580002,389.700001,94763900,50.968606
2011-12-01,382.539997,389.000011,380.749996,387.93,96795300,50.737109
2011-11-30,381.290009,382.279991,378.300007,382.199989,101484600,49.987684
2011-11-29,375.840004,378.830006,370.200008,373.199997,93963800,48.810581
2011-11-28,372.349991,376.719997,370.329998,376.12001,86603300,49.192488
2011-11-25,368.419994,371.14999,363.320011,363.570004,63690200,47.551081
2011-11-23,374.509987,375.840004,366.880013,366.990002,107067800,47.99838
2011-11-22,371.02,377.930012,370.939999,376.510006,102255300,49.243495
2011-11-21,370.400013,371.679989,365.910004,369.009995,111995100,48.262573
2011-11-18,378.919994,379.990005,374.880009,374.94001,92984500,49.038156
2011-11-17,383.980003,384.57999,375.499996,377.41,119975100,49.361205
2011-11-16,389.250004,391.140007,384.320011,384.770008,87302600,50.323815
2011-11-15,380.800011,389.499996,379.449993,388.829994,107702700,50.854818
2011-11-14,383.519993,385.249992,378.200005,379.260002,108226300,49.603165
2011-11-11,386.609997,388.700005,380.259998,384.619991,163446500,50.304195
2011-11-10,397.029995,397.209999,382.150002,385.220005,186188100,50.38267
2011-11-09,396.969994,400.890003,394.230011,395.279995,139671000,51.698409
2011-11-08,402.210007,407.999992,401.560005,406.229992,100110500,53.130552
2011-11-07,399.910007,399.999996,396.130001,399.730003,67568900,52.280423
2011-11-04,402.030003,403.439995,399.160004,400.240002,75557300,52.347125
2011-11-03,399.069988,403.399994,395.359997,403.07,110346600,52.717259
2011-11-02,400.090012,400.440006,395.110004,397.410004,81837700,51.976992
2011-11-01,397.410004,399.500011,393.220001,396.51001,132947500,51.859282
2011-10-31,402.419998,409.330009,401.050007,404.779999,96375300,52.940909
2011-10-28,403.000011,406.349995,402.509987,404.949989,80710700,52.963142
2011-10-27,407.560009,408.999989,401.889999,404.69001,123666200,52.929139
2011-10-26,401.76001,402.549988,393.150013,400.60001,114076200,52.394211
2011-10-25,405.029991,406.549999,397.37999,397.770012,107606800,52.024077
2011-10-24,396.179989,406.500011,395.399998,405.770008,125534500,53.070391
2011-10-21,398.100006,399.140003,390.750011,392.870007,155311100,51.383209
2011-10-20,399.999996,400.349991,394.210011,395.310009,137317600,51.702335
2011-10-19,401.349987,408.420002,397.799999,398.619991,276014900,52.135245
2011-10-18,421.759987,424.80999,415.990002,422.239998,220400600,55.22449
2011-10-17,421.740013,426.699993,415.939987,419.990013,171511200,54.930216
2011-10-14,416.829994,421.999992,415.270012,421.999992,143341800,55.1931
2011-10-13,404.980003,408.429989,402.849995,408.429989,106546300,53.418288
2011-10-12,407.340004,409.250008,400.139999,402.190006,155571500,52.602165
2011-10-11,392.57,403.179989,391.499989,400.289989,151421900,52.353663
2011-10-10,379.090012,388.809994,378.209991,388.809994,110628700,50.852202
2011-10-07,375.780003,377.739994,368.490009,369.799999,133864500,48.365898
2011-10-06,373.330013,384.779995,371.799992,377.369999,203145600,49.355973
2011-10-05,367.860008,379.819988,360.299995,378.249992,196617400,49.471067
2011-10-04,374.569988,381.800007,354.23999,372.500008,308419300,48.71903
